Fold,Test Loss,Test Accuracy,Majority Voting Accuracy
1,1.314592004,0,0
2,1.375513434,0,0
3,1.448983908,0.142857149,0
4,1.274038434,0.833333313,1
5,1.361932278,0.333333343,0
6,1.326062322,1,1
7,1.380864501,0.166666672,0
8,1.227524281,0,0
9,1.349489093,0,0
10,1.341709614,0,0
11,1.326761365,0,0
12,1.348638892,0.833333313,1
13,1.344360352,0,0
14,1.296350241,0,0
15,1.247330427,0.333333343,0
16,1.345746398,0,0
17,1.393941879,0,0
18,1.295249462,0,0
19,3.953521013,0,0
20,1.272746205,0.5,1
21,1.271832466,0.5,1
22,1.31886816,0.5,0
23,4.16771698,0,0
24,1.5993613,0,0
25,1.934691906,0,0
26,1.211995959,1,1
27,1.561262488,0,0
28,1.358610511,0.333333343,0
29,1.23826623,1,1
30,1.306202412,0.400000006,0
31,9.740194321,0,0
32,1.581156492,0.600000024,1
33,1.48513341,0,0
34,1.425540209,0.200000003,0
35,1.234502077,1,1
36,1.314352274,1,1
37,1.228544831,0.800000012,1
38,1.078298926,0.600000024,1
39,1.281483412,0.800000012,1
40,1.259128451,0.75,1
41,1.364678621,0.25,0
42,1.30877924,0,0
43,1.864273071,0,0
44,1.296741962,0,0
45,1.070663571,1,1
46,1.294178486,0,0
47,1.266173244,0.666666687,1
48,1.286279798,0,0
49,1.352249265,0,0
50,1.526976109,0,0
51,1.082477331,0,0
52,1.327131987,0,0
53,1.387629151,1,1
54,1.330146313,1,1
,,0.324867727,0.333333333
